시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250901,1101.00,납작당면잡채 (5.6.13.18)<br/>가바찰현미밥 <br/>홍합살미역국 (18)<br/>해물찜닭 (5.6.9.13.15.17)<br/>배추김치 (9)<br/>동글밤치즈케익 (1.2.5.6),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,972.2 Kcal,탄수화물(g) : 133.9<br/>단백질(g) : 40.7<br/>지방(g) : 29.3<br/>비타민A(R.E) : 211.2<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 19.7<br/>칼슘(mg) : 190.6<br/>철분(mg) : 5.5,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250902,1101.00,참치마요주먹밥 (1.2.5.6.10.15.16)<br/>토마토스파게티 (1.5.6.10.12.13)<br/>양송이크림스프 (2.5.6.13.16)<br/>꼬들단무지무침 <br/>경양식돈까스&소스 (1.5.6.10.12.13.18)<br/>오이김치 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1014.7 Kcal,탄수화물(g) : 115.8<br/>단백질(g) : 28.5<br/>지방(g) : 48.4<br/>비타민A(R.E) : 122.3<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 15.6<br/>칼슘(mg) : 124.2<br/>철분(mg) : 3.9,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250903,1101.00,찰보리밥 <br/>두부호박된장찌개 (5.6)<br/>오징어새콤무침&소면 (5.6.13.17)<br/>보쌈김치 (9)<br/>요구르트 (2)<br/>마늘수육&쌈장(상추) (5.6.10.13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,837.0 Kcal,탄수화물(g) : 134.6<br/>단백질(g) : 46.2<br/>지방(g) : 10.0<br/>비타민A(R.E) : 123.3<br/>티아민(mg) : 0.8<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 16.4<br/>칼슘(mg) : 219.0<br/>철분(mg) : 3.8,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250904,1101.00,차조밥 <br/>얼큰닭개장 (5.6.15)<br/>양배추샐러드&흑임자S (1.5.13)<br/>치즈덮은볼카츠 (1.2.5.6.10)<br/>총각김치 (9)<br/>포도 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1194.4 Kcal,탄수화물(g) : 112.8<br/>단백질(g) : 43.8<br/>지방(g) : 62.8<br/>비타민A(R.E) : 193.9<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 18.3<br/>칼슘(mg) : 299.8<br/>철분(mg) : 4.4,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250905,1101.00,햄야채볶음밥 (1.2.5.6.10.15.16)<br/>콩나물김치국(어묵) (1.5.6.9)<br/>시금치무침 <br/>언양식넙적숯불고기 (2.5.16)<br/>깍두기 (9)<br/>초코우유 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,288.1 Kcal,탄수화물(g) : 21.0<br/>단백질(g) : 20.6<br/>지방(g) : 14.1<br/>비타민A(R.E) : 213.9<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 25.5<br/>칼슘(mg) : 170.3<br/>철분(mg) : 3.9,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250908,1101.00,기장밥 <br/>참치김치찌개 (5.6.9.16.18)<br/>회과육(춘장불고기) (1.5.6.13.18)<br/>총각김치 (9)<br/>조각피자 (1.2.5.6.10.12.13.15.16)<br/>수제오이피클 (13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,925.1 Kcal,탄수화물(g) : 140.9<br/>단백질(g) : 37.6<br/>지방(g) : 24.4<br/>비타민A(R.E) : 67.9<br/>티아민(mg) : 1.3<br/>리보플라빈(mg) : 1.1<br/>비타민C(mg) : 13.2<br/>칼슘(mg) : 315.7<br/>철분(mg) : 4.4,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250909,1101.00,찰보리밥 <br/>소고기육개장 (5.6.16)<br/>삼색묵샐러드 (1.5.6.13)<br/>정원이네식혜 <br/>고구마함박스테이크 (1.2.5.6.10.12.13.15.16)<br/>배추김치 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,804.2 Kcal,탄수화물(g) : 129.3<br/>단백질(g) : 20.8<br/>지방(g) : 21.6<br/>비타민A(R.E) : 89.3<br/>티아민(mg) : 1.2<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 18.3<br/>칼슘(mg) : 129.6<br/>철분(mg) : 2.2,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250910,1101.00,마파두부덮밥 (5.6.10.12.13.18)<br/>계란감자국 (1.9)<br/>청경채나물 <br/>총각김치 (9)<br/>크런치탕수육 (1.5.6.10.11.12.13.18)<br/>바나나 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,955.5 Kcal,탄수화물(g) : 141.1<br/>단백질(g) : 33.1<br/>지방(g) : 28.1<br/>비타민A(R.E) : 116.5<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 20.6<br/>칼슘(mg) : 184.1<br/>철분(mg) : 12.7,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250911,1101.00,율무밥 <br/>부대찌개/라면사리 (1.2.5.6.9.10.12.15.16)<br/>임연수카레구이 (2.5.6.12.13.16.18)<br/>재래김 <br/>열무김치 (9)<br/>과즙워터 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,984.1 Kcal,탄수화물(g) : 146.8<br/>단백질(g) : 41.4<br/>지방(g) : 23.6<br/>비타민A(R.E) : 62.4<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 21.8<br/>칼슘(mg) : 317.7<br/>철분(mg) : 8.4,20250831
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250912,1101.00,찰흑미밥 <br/>황기엄나무닭백숙 (15)<br/>야채비빔만두 (1.5.6.10.13.15.16.18)<br/>고구마맛탕 (5.13)<br/>배추김치 (9)<br/>포도쥬스 (13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,995.4 Kcal,탄수화물(g) : 182.5<br/>단백질(g) : 25.3<br/>지방(g) : 18.0<br/>비타민A(R.E) : 88.2<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 20.0<br/>칼슘(mg) : 133.6<br/>철분(mg) : 4.3,20250831
